,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
22,1,148,dodge,four,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6229.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
23,1,148,dodge,four,sedan,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6692.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
24,1,148,dodge,four,sedan,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,7609.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
25,1,148,dodge,,sedan,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,30,8558.0,9.791666666666666,7.833333333333333,Medium,False,True,False,True
26,-1,110,dodge,four,wagon,fwd,front,103.3,0.861796643632774,0.9009762900976289,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,24,30,8921.0,9.791666666666666,7.833333333333333,Low,False,True,True,False
27,3,145,dodge,two,hatchback,fwd,front,95.9,0.8548864758144126,0.9246861924686192,0.8394648829431439,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,19,24,12964.0,12.368421052631579,9.791666666666666,Medium,False,True,False,True
28,2,137,honda,two,hatchback,fwd,front,86.6,0.7137216189536032,0.8912133891213389,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,49,54,6479.0,4.795918367346939,4.351851851851852,Low,False,True,True,False
29,2,137,honda,two,hatchback,fwd,front,86.6,0.7137216189536032,0.8912133891213389,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,31,38,6855.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
30,1,101,honda,two,hatchback,fwd,front,93.7,0.7403751233958539,0.8926080892608089,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,38,42,5399.0,6.184210526315789,5.595238095238095,Low,False,True,True,False
31,1,101,honda,two,hatchback,fwd,front,93.7,0.7403751233958539,0.8926080892608089,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,6529.0,7.833333333333333,6.911764705882353,Low,False,True,True,False
32,1,101,honda,two,hatchback,fwd,front,93.7,0.7403751233958539,0.8926080892608089,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7129.0,7.833333333333333,6.911764705882353,Low,False,True,True,False
33,0,110,honda,four,sedan,fwd,front,96.5,0.8065153010858835,0.8926080892608089,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7295.0,7.833333333333333,6.911764705882353,Low,False,True,True,False
34,0,78,honda,four,wagon,fwd,front,96.5,0.7754195459032577,0.8912133891213389,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,30,34,7295.0,7.833333333333333,6.911764705882353,Low,False,True,True,False
35,0,106,honda,two,hatchback,fwd,front,96.5,0.8267522211253702,0.9093444909344491,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,7895.0,8.703703703703704,7.121212121212121,Low,False,True,True,False
36,0,106,honda,two,hatchback,fwd,front,96.5,0.8267522211253702,0.9093444909344491,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,9095.0,8.703703703703704,7.121212121212121,Low,False,True,True,False
37,0,85,honda,four,sedan,fwd,front,96.5,0.8657453109575519,0.9093444909344491,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,8845.0,8.703703703703704,7.121212121212121,Low,False,True,True,False
38,0,85,honda,four,sedan,fwd,front,96.5,0.8657453109575519,0.8716875871687587,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,10295.0,8.703703703703704,7.121212121212121,Low,False,True,True,False
39,0,85,honda,four,sedan,fwd,front,96.5,0.8657453109575519,0.9093444909344491,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,24,28,12945.0,9.791666666666666,8.392857142857142,Medium,False,True,True,False
40,1,107,honda,two,sedan,fwd,front,96.5,0.8346495557749259,0.9205020920502092,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,25,31,10345.0,9.4,7.580645161290323,Medium,False,True,True,False
43,0,145,jaguar,four,sedan,rwd,front,113.0,0.9851924975320829,0.9707112970711296,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,19,32250.0,15.666666666666666,12.368421052631579,High,False,True,True,False
46,1,104,mazda,two,hatchback,fwd,front,93.1,0.7852912142152023,0.895397489539749,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,30,31,5195.0,7.833333333333333,7.580645161290323,Low,False,True,True,False
47,1,104,mazda,two,hatchback,fwd,front,93.1,0.7852912142152023,0.895397489539749,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6095.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
48,1,104,mazda,two,hatchback,fwd,front,93.1,0.7852912142152023,0.895397489539749,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6795.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
49,1,113,mazda,four,sedan,fwd,front,93.1,0.8232971372161896,0.895397489539749,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6695.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
50,1,113,mazda,four,sedan,fwd,front,93.1,0.8232971372161896,0.895397489539749,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,31,38,7395.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
51,3,150,mazda,two,hatchback,rwd,front,95.3,0.8341559723593287,0.9163179916317992,0.8294314381270904,2380,rotor,two,70,4bbl,,,9.4,101,6000.0,17,23,10945.0,13.823529411764707,10.217391304347826,Medium,False,True,True,False
52,3,150,mazda,two,hatchback,rwd,front,95.3,0.8341559723593287,0.9163179916317992,0.8294314381270904,2380,rotor,two,70,4bbl,,,9.4,101,6000.0,17,23,11845.0,13.823529411764707,10.217391304347826,Medium,False,True,True,False
53,3,150,mazda,two,hatchback,rwd,front,95.3,0.8341559723593287,0.9163179916317992,0.8294314381270904,2385,rotor,two,70,4bbl,,,9.4,101,6000.0,17,23,13645.0,13.823529411764707,10.217391304347826,Medium,False,True,True,False
54,3,150,mazda,two,hatchback,rwd,front,95.3,0.8341559723593287,0.9163179916317992,0.8294314381270904,2500,rotor,two,80,mpfi,,,9.4,135,6000.0,16,23,15645.0,14.6875,10.217391304347826,Medium,False,True,True,False
55,1,129,mazda,two,hatchback,fwd,front,98.8,0.8775913129318855,0.9274755927475592,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8845.0,9.038461538461538,7.34375,Low,False,True,True,False
56,0,115,mazda,four,sedan,fwd,front,98.8,0.8775913129318855,0.9274755927475592,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8495.0,9.038461538461538,7.34375,Low,False,True,True,False
57,1,129,mazda,two,hatchback,fwd,front,98.8,0.8775913129318855,0.9274755927475592,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10595.0,9.038461538461538,7.34375,Low,False,True,True,False
58,0,115,mazda,four,sedan,fwd,front,98.8,0.8775913129318855,0.9274755927475592,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10245.0,9.038461538461538,7.34375,Low,False,True,True,False
60,0,115,mazda,four,hatchback,fwd,front,98.8,0.8775913129318855,0.9274755927475592,0.9280936454849499,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,11245.0,9.038461538461538,7.34375,Low,False,True,True,False
61,0,118,mazda,four,sedan,rwd,front,104.9,0.863770977295163,0.9218967921896791,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,19,27,18280.0,12.368421052631579,8.703703703703704,Medium,False,True,True,False
63,-1,93,mercedes-benz,four,sedan,rwd,front,110.0,0.9422507403751235,0.9804741980474198,0.9448160535117057,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,25552.0,10.681818181818182,9.4,Medium,True,False,False,True
64,-1,93,mercedes-benz,four,wagon,rwd,front,110.0,0.9422507403751235,0.9804741980474198,0.9816053511705687,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,28248.0,10.681818181818182,9.4,Medium,True,False,False,True
65,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,0.9254689042448174,0.9804741980474198,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,28176.0,10.681818181818182,9.4,Medium,True,False,False,True
66,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,1.0,1.0,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,31600.0,10.681818181818182,9.4,Medium,True,False,False,True
68,3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.8899308983218165,0.9832635983263598,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,18,35056.0,14.6875,13.055555555555555,High,False,True,True,False
72,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.7764067127344522,0.898186889818689,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,37,41,5389.0,6.351351351351352,5.7317073170731705,Low,False,True,True,False
73,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.7764067127344522,0.898186889818689,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6189.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
74,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.7764067127344522,0.898186889818689,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6669.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
75,1,161,mitsubishi,two,hatchback,fwd,front,93.0,0.7764067127344522,0.8898186889818688,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,30,7689.0,9.791666666666666,7.833333333333333,Medium,False,True,False,True
76,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.8538993089832182,0.9121338912133892,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9959.0,10.217391304347826,7.833333333333333,Medium,False,True,False,True
77,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.8538993089832182,0.9121338912133892,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8499.0,9.4,7.34375,Low,False,True,True,False
81,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,6989.0,9.4,7.34375,Low,False,True,True,False
82,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8189.0,9.4,7.34375,Low,False,True,True,False
83,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279.0,10.217391304347826,7.833333333333333,Medium,False,True,False,True
84,-1,137,mitsubishi,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279.0,10.217391304347826,7.833333333333333,Medium,False,True,True,False
85,1,128,nissan,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,5499.0,7.580645161290323,6.351351351351352,Low,False,True,True,False
86,1,128,nissan,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,45,50,7099.0,5.222222222222222,4.7,Low,True,False,True,False
87,1,128,nissan,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6649.0,7.580645161290323,6.351351351351352,Low,False,True,True,False
88,1,122,nissan,four,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6849.0,7.580645161290323,6.351351351351352,Low,False,True,True,False
89,1,103,nissan,four,wagon,fwd,front,94.5,0.8400789733464955,0.8898186889818688,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7349.0,7.580645161290323,6.351351351351352,Low,False,True,True,False
90,1,128,nissan,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7299.0,7.580645161290323,6.351351351351352,Low,False,True,True,False
91,1,128,nissan,two,hatchback,fwd,front,94.5,0.8173741362290227,0.8898186889818688,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7799.0,7.580645161290323,6.351351351351352,Low,False,True,True,False
92,1,122,nissan,four,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7499.0,7.580645161290323,6.351351351351352,Low,False,True,True,False
93,1,103,nissan,four,wagon,fwd,front,94.5,0.8400789733464955,0.8898186889818688,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7999.0,7.580645161290323,6.351351351351352,Low,False,True,True,False
94,2,168,nissan,two,hardtop,fwd,front,95.1,0.8015794669299112,0.8898186889818688,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,8249.0,7.580645161290323,6.351351351351352,Low,False,True,True,False
95,0,106,nissan,four,hatchback,fwd,front,97.2,0.8558736426456072,0.9093444909344491,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,34,8949.0,8.703703703703704,6.911764705882353,Low,False,True,True,False
96,0,106,nissan,four,sedan,fwd,front,97.2,0.8558736426456072,0.9093444909344491,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,34,9549.0,8.703703703703704,6.911764705882353,Low,False,True,True,False
97,0,128,nissan,four,sedan,fwd,front,100.4,0.8968410661401777,0.9274755927475592,0.9214046822742475,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,22,13499.0,13.823529411764707,10.681818181818182,High,False,True,True,False
98,0,108,nissan,four,wagon,fwd,front,100.4,0.9111549851924975,0.9274755927475592,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,22,14399.0,13.823529411764707,10.681818181818182,High,False,True,True,False
99,0,108,nissan,four,sedan,fwd,front,100.4,0.9111549851924975,0.9274755927475592,0.9214046822742475,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,19,25,13499.0,12.368421052631579,9.4,High,False,True,True,False
100,3,194,nissan,two,hatchback,rwd,front,91.3,0.8425468904244817,0.9470013947001396,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,25,17199.0,12.368421052631579,9.4,High,False,True,True,False
101,3,194,nissan,two,hatchback,rwd,front,91.3,0.8425468904244817,0.9470013947001396,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,17,23,19699.0,13.823529411764707,10.217391304347826,High,False,True,False,True
102,1,231,nissan,two,hatchback,rwd,front,99.2,0.8810463968410661,0.9470013947001396,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,25,18399.0,12.368421052631579,9.4,High,False,True,True,False
103,0,161,peugot,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,24,11900.0,12.368421052631579,9.791666666666666,Low,False,True,True,False
104,0,161,peugot,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,33,13200.0,8.392857142857142,7.121212121212121,Low,True,False,False,True
107,0,161,peugot,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,19,24,15580.0,12.368421052631579,9.791666666666666,Low,False,True,True,False
108,0,161,peugot,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,33,16900.0,8.392857142857142,7.121212121212121,Low,True,False,False,True
111,0,161,peugot,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,24,16630.0,12.368421052631579,9.791666666666666,Low,False,True,True,False
112,0,161,peugot,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,33,17950.0,8.392857142857142,7.121212121212121,Low,True,False,False,True
113,0,161,peugot,four,sedan,rwd,front,108.0,0.9215202369200395,0.9525801952580194,0.9364548494983278,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600.0,18,24,18150.0,13.055555555555555,9.791666666666666,Medium,False,True,False,True
114,1,119,plymouth,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8494983277591973,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,37,41,5572.0,6.351351351351352,5.7317073170731705,Low,False,True,True,False
115,1,119,plymouth,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8494983277591973,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,30,7957.0,9.791666666666666,7.833333333333333,Medium,False,True,False,True
116,1,154,plymouth,four,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6229.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
117,1,154,plymouth,four,sedan,fwd,front,93.7,0.8257650542941758,0.8898186889818688,0.8494983277591973,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6692.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
118,1,154,plymouth,four,sedan,fwd,front,93.7,0.8257650542941758,0.8898186889818688,0.8494983277591973,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500.0,31,38,7609.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
119,-1,74,plymouth,four,wagon,fwd,front,103.3,0.861796643632774,0.9009762900976289,1.0,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,24,30,8921.0,9.791666666666666,7.833333333333333,Low,False,True,True,False
121,3,186,porsche,two,hatchback,rwd,front,94.5,0.8336623889437316,0.9525801952580194,0.8394648829431439,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500.0,19,27,22018.0,12.368421052631579,8.703703703703704,Medium,False,True,True,False
127,3,150,saab,two,hatchback,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250.0,21,28,11850.0,11.19047619047619,8.392857142857142,Medium,False,True,True,False
128,2,104,saab,four,sedan,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,21,28,12170.0,11.19047619047619,8.392857142857142,Medium,False,True,True,False
129,3,150,saab,two,hatchback,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250.0,21,28,15040.0,11.19047619047619,8.392857142857142,Medium,False,True,True,False
130,2,104,saab,four,sedan,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,21,28,15510.0,11.19047619047619,8.392857142857142,Medium,False,True,True,False
131,3,150,saab,two,hatchback,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,19,26,18150.0,12.368421052631579,9.038461538461538,High,False,True,False,True
132,2,104,saab,four,sedan,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,19,26,18620.0,12.368421052631579,9.038461538461538,High,False,True,False,True
133,2,83,subaru,two,hatchback,fwd,front,93.7,0.7744323790720632,0.8842398884239888,0.8979933110367894,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900.0,31,36,5118.0,7.580645161290323,6.527777777777778,Low,False,True,True,False
134,2,83,subaru,two,hatchback,fwd,front,93.7,0.7793682132280356,0.8870292887029289,0.8979933110367894,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,26,31,7053.0,9.038461538461538,7.580645161290323,Low,False,True,True,False
135,2,83,subaru,two,hatchback,4wd,front,93.3,0.7764067127344522,0.8898186889818688,0.931438127090301,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,26,31,7603.0,9.038461538461538,7.580645161290323,Low,False,True,True,False
136,0,102,subaru,four,sedan,fwd,front,97.2,0.8489634748272459,0.9121338912133892,0.8779264214046824,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800.0,32,37,7126.0,7.34375,6.351351351351352,Low,False,True,True,False
137,0,102,subaru,four,sedan,fwd,front,97.2,0.8489634748272459,0.9121338912133892,0.8779264214046824,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400.0,28,33,7775.0,8.392857142857142,7.121212121212121,Low,False,True,True,False
138,0,102,subaru,four,sedan,fwd,front,97.2,0.8489634748272459,0.9121338912133892,0.8779264214046824,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,26,32,9960.0,9.038461538461538,7.34375,Low,False,True,True,False
139,0,102,subaru,four,sedan,4wd,front,97.0,0.8489634748272459,0.9121338912133892,0.9080267558528428,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,24,25,9233.0,9.791666666666666,9.4,Low,False,True,True,False
140,0,102,subaru,four,sedan,4wd,front,97.0,0.8489634748272459,0.9121338912133892,0.9080267558528428,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,24,29,11259.0,9.791666666666666,8.10344827586207,Medium,False,True,False,True
